recording_id,segment_id,signer_id,split,length_bucket,estimated_duration_seconds,session_id,recording_date,take_number,status,actual_duration_seconds,q_motion_blur_ok,q_framing_full_signing_space,q_fps_ge_25,q_lighting_ok,q_resolution_ge_1080p,video_path,notes
VSL_SEG_000001,d00737,SIGNER_03,train,standard,59,,,,pending,,,,,,,,
VSL_SEG_000002,d00739,SIGNER_02,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000003,d00740,SIGNER_04,train,standard,74,,,,pending,,,,,,,,
VSL_SEG_000004,d00741,SIGNER_01,train,standard,59,,,,pending,,,,,,,,
VSL_SEG_000005,d00742,SIGNER_02,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000006,d00745,SIGNER_08,train,standard,54,,,,pending,,,,,,,,
VSL_SEG_000007,d00746,SIGNER_05,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000008,d00752,SIGNER_08,train,standard,52,,,,pending,,,,,,,,
VSL_SEG_000009,d00766,SIGNER_02,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000010,d00797,SIGNER_07,train,standard,55,,,,pending,,,,,,,,
VSL_SEG_000011,d00802,SIGNER_08,train,standard,70,,,,pending,,,,,,,,
VSL_SEG_000012,d00803,SIGNER_07,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000013,d00804,SIGNER_04,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000014,d00805,SIGNER_06,train,standard,59,,,,pending,,,,,,,,
VSL_SEG_000015,d00806,SIGNER_03,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000016,d00807,SIGNER_01,train,standard,62,,,,pending,,,,,,,,
VSL_SEG_000017,d00808,SIGNER_01,train,standard,61,,,,pending,,,,,,,,
VSL_SEG_000018,d00811,SIGNER_04,train,standard,56,,,,pending,,,,,,,,
VSL_SEG_000019,d00812,SIGNER_06,train,standard,60,,,,pending,,,,,,,,
VSL_SEG_000020,d00813,SIGNER_07,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000021,d00815,SIGNER_05,train,standard,58,,,,pending,,,,,,,,
VSL_SEG_000022,gf2_congviec_001,SIGNER_06,train,hard,100,,,,pending,,,,,,,,
